ID,REFERENCES,SIO2,TIO2,AL2O3,FEOT,MNO,MGO,CAO,CR2O3,FE SKARN,AU  SKARN,CU  SKARN,ZN  SKARN,W  SKARN,MO  SKARN,SN  SKARN
2691,"The Age and Origin of the Ruwai Polymetallic Skarn Deposit, Indonesia: Evidence of Cretaceous Mineralization in the Central Borneo Metallogenic Belt",36.594,0,9.276,16.804,2.102,0,31.681,0.006,1,0,0,1,0,0,0
2692,"Garnet Geochemistry of Reduced Skarn System: Implications for Fluid Evolution and Skarn Formation of the Zhuxiling W (Mo) Deposit, China",36.592,1.479,10.108,15.392,5.362,0.025,29.681,0.045,0,0,0,0,1,1,0
2693,"Using garnet geochemistry discriminating different skarn mineralization systems: Perspective from Huangshaping W-Mo-Sn-Cu polymetallic deposit, South China",36.591,0.041,8.087,18.725,0.794,0.032,32.688,0,0,0,1,0,1,1,1
2694,"Fingerprinting the Hydrothermal Fluid Characteristics from LA-ICP-MS Trace Element Geochemistry of Garnet in the Yongping Cu Deposit, SE China",36.59,0.15,7.34,18.54,0.41,0.04,34.62,0,0,0,1,0,0,0,0
2695,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,36.59,0,8.22,17.27,0.396,0.035,34.32,0,0,0,0,0,0,0,1
2696,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,36.59,0,13.07,11.58,0.823,0.03,33.99,0,0,0,0,0,0,0,1
2697,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,36.59,0.479,14.84,9.59,1.96,0,33.66,0,0,0,0,0,0,0,1
2698,"Scheelite and coexisting F-rich zoned garnet, vesuvianite, fluorite, and apatite in calc-silicate rocks from the Mogok metamorphic belt, Myanmar: Implications for metasomatism in marble and the role of halogens in W mobilization and mineralization",36.59,0.24,18.81,9.21,0.91,0.12,31.42,0,0,0,0,0,1,0,0
2699,Garnet composition as an indicator of Cu mineralization: evidence from skarn deposits of NW Iran,36.59,0.18,7.23,24.391,1.02,0.56,30.18,0,1,0,0,0,0,0,0
2700,"In situ LA-ICP-MS study of garnets in the Makeng Fe skarn deposit, eastern China: Fluctuating fluid flow, ore-forming conditions and implication for mineral exploration",36.587,0.001,0.177,26.658,0.889,0.265,34.328,0,1,0,0,0,0,0,0
2701,"Garnet Geochemistry of Reduced Skarn System: Implications for Fluid Evolution and Skarn Formation of the Zhuxiling W (Mo) Deposit, China",36.584,1.353,7.272,19.009,2.206,0.049,32.646,0.02,0,0,0,0,1,1,0
2702,"The Age and Origin of the Ruwai Polymetallic Skarn Deposit, Indonesia: Evidence of Cretaceous Mineralization in the Central Borneo Metallogenic Belt",36.581,0.064,4.238,24.031,0.436,0.043,32.073,0.003,1,0,0,1,0,0,0
2703,"Chemical composition and evolution of the garnets in the Astamal Fe-LREE distal skarn deposit, Qara-Dagh每Sabalan metallogenic belt, Lesser Caucasus, NW Iran",36.58,0.28,3.58,27.98,0.86,0.67,29.95,0.06,1,0,0,0,0,0,0
2704,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,36.58,2.16,10.2,12.75,0.683,0.073,34.55,0,0,0,0,0,0,0,1
2705,"Skarn formation and trace elements in garnet and associated minerals from Zhibula copper deposit, Gangdese Belt, southern Tibet",36.58,0.36,11.08,13.689,1.29,0.04,33.74,0,0,0,1,0,0,0,0
2706,"Skarn Zonation of the Giant Jiama Cu-Mo-Au Deposit in Southern Tibet, SW China",36.58,0.1,5.186,21.675,0.241,0.132,33.497,0,0,1,1,0,0,1,0
2707,"Age and compositions of garnet in a magnesian skarn Au-Cu deposit, Tibet, implications for ore-fluid evolution",36.58,0.66,9.88,16.28,0.54,0.06,35.4,0,0,1,1,0,0,0,0
2708,"Mineralogy and fluid characteristics of the Waschleithe Zn skarn 每 a distal part of the Schwarzenberg mineral system, Erzgebirge, Germany",36.58,0.3,15.32,8.72,1.48,0,34.39,0,0,0,0,1,0,0,0
2709,"The Tongon Au Deposit, Northern C?te d＊Ivoire: An Example of Paleoproterozoic Au Skarn Mineralization",36.577,1.404,8.257,17.461,0.338,0,33.801,0,0,1,0,0,0,0,0
2710,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,36.576,0.902,8.688,17.202,0.848,0.073,34.575,0,0,0,0,0,0,0,1
2711,"The Age and Origin of the Ruwai Polymetallic Skarn Deposit, Indonesia: Evidence of Cretaceous Mineralization in the Central Borneo Metallogenic Belt",36.575,0.388,9.611,15.872,1.885,0.012,32.345,0.036,1,0,0,1,0,0,0
2712,"The Age and Origin of the Ruwai Polymetallic Skarn Deposit, Indonesia: Evidence of Cretaceous Mineralization in the Central Borneo Metallogenic Belt",36.573,0.054,3.562,25.188,0.396,0.004,32.029,0.006,1,0,0,1,0,0,0
2713,"In Situ LA-ICP-MS of Zoned Garnets from the Huanggang Skarn Iron每Tin Polymetallic Deposit, Southeastern Mongolia, Northern China",36.572,0.032,8.499,17.509,0.49,0.043,35.142,0.016,1,0,0,0,0,0,1
2714,"Using garnet geochemistry discriminating different skarn mineralization systems: Perspective from Huangshaping W-Mo-Sn-Cu polymetallic deposit, South China",36.572,0,7.008,20.134,0.77,0.028,32.773,0,0,0,1,0,1,1,1
2715,"Garnet Geochemistry of Reduced Skarn System: Implications for Fluid Evolution and Skarn Formation of the Zhuxiling W (Mo) Deposit, China",36.572,0,9.878,17.318,2.959,0,31.769,0,0,0,0,0,1,1,0
2716,"Garnet major and trace element evidence of the alteration and mineralizing processes associated with genesis of the Qiaomaishan skarn deposit, Xuancheng ore district, eastern China",36.572,0.712,9.91,15.865,0.647,0.141,34.766,0,0,0,1,0,1,0,0
2717,"In Situ LA-ICP-MS of Zoned Garnets from the Huanggang Skarn Iron每Tin Polymetallic Deposit, Southeastern Mongolia, Northern China",36.57,0,8.597,17.434,0.757,0.008,35.049,0.005,1,0,0,0,0,0,1
2718,"Garnet U-Pb dating of the Yinan Au-Cu skarn deposit, Luxi District, North China Craton: Implications for district-wide coeval Au-Cu and Fe skarn mineralization",36.57,0.559,6.434,21.685,0.325,0.17,34.093,0,1,1,1,0,0,0,0
2719,"Fingerprinting the Hydrothermal Fluid Characteristics from LA-ICP-MS Trace Element Geochemistry of Garnet in the Yongping Cu Deposit, SE China",36.57,0.06,5.65,20.7,0.23,0.04,34.01,0,0,0,1,0,0,0,0
2720,"Mineralogy and fluid characteristics of the Waschleithe Zn skarn 每 a distal part of the Schwarzenberg mineral system, Erzgebirge, Germany",36.57,0.46,14.68,9.84,1.4,0,34.64,0,0,0,0,1,0,0,0
2721,"Fluid metasomatic genesis of stratiform skarn in the Suoerkuduke Cu-Mo deposit, East Junggar, NW China",36.57,0,5.84,20.7,0.68,0,33.76,0,0,0,1,0,0,1,0
2722,Unveiling growth histories of multi-generational garnet in a single skarn deposit via newly-developed LA-ICP-MS Usingle bondPb dating of grandite,36.563,0,5.566,24.29,0.322,0.028,33.812,0,1,1,1,0,0,0,0
2723,Unveiling growth histories of multi-generational garnet in a single skarn deposit via newly-developed LA-ICP-MS Usingle bondPb dating of grandite,36.561,0.022,6.92,20.172,0.18,0.025,35.313,0,1,1,1,0,0,0,0
2724,"Multigeneration garnets record the fluid evolution of volcanic-hosted skarn iron deposit: Study of the Yamansu deposit, NW China",36.56,0.07,8.5,19.72,0.36,0.02,32.73,0.04,1,0,0,0,0,0,0
2725,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,36.56,0,11.09,14.96,0,0,35.06,0,0,0,0,0,0,0,1
2726,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,36.56,0.182,13.68,10.74,0.985,0,33.99,0,0,0,0,0,0,0,1
2727,"Fluid metasomatic genesis of stratiform skarn in the Suoerkuduke Cu-Mo deposit, East Junggar, NW China",36.56,0.02,7.04,19.397,0.71,0,33.65,0,0,0,1,0,0,1,0
2728,Sequential trace element analysis of zoned skarn garnet: Implications for multi-stage fluxing and flow of magmatic fluid into a skarn system,36.56,0,4.82,22.095,1.19,0.16,33.32,0,1,0,0,1,0,0,0
2729,"IN SITU U-Pb DATING OF GARNET AND CASSITERITE FROM THE KANBAUK W-Sn(-F) SKARN DEPOSIT, DAWEI REGION, SOUTHERN MYANMAR: NEW INSIGHTS ON THE REGIONAL Sn-W METALLOGENY IN THE SOUTHEAST Asia TIN BELT",36.56,0.08,15.46,10.37,6.57,0.04,27.94,0,0,0,0,0,1,0,1
